
# ENCUT KA KB KC             TOTEN DIR                 
 #500.0  1   9.970308 
 #500.0  2   0.311871 
 #500.0  3   0.124422 
 #500.0  4   0.026730 
 500.0  5   0.040272 
 500.0  6   0.000227 
 500.0  7   0.024858 
 500.0  8   0.002849 
 500.0  9   0.000075 
 500.0 10   0.002337 
 500.0 11   0.000243 
 500.0 12   0.002980 
 500.0 13   0.001957 
 500.0 14   0.003722 
 500.0 15   0.004466 
 500.0 16   0.003132 
 500.0 17   0.002119 
 500.0 18   0.003236 
 500.0 19   0.003810 
 500.0 20   0.002968 
 500.0 21   0.003180 
 500.0 22   0.003001 
 500.0 23   0.002499 
 500.0 24   0.003166 
 500.0 25   0.003722 
 500.0 26   0.003145 
 500.0 27   0.002757 
 500.0 28   0.003173 
 500.0 29   0.003058 
 500.0 30   0.003120 
 500.0 31   0.003352 
 500.0 32   0.003122 

 #550.0  1   9.993422 
 #550.0  2   0.321836 
 #550.0  3   0.112194 
 #550.0  4   0.018405 
 550.0  5   0.029145 
 550.0  6   0.008041 
 550.0  7   0.031955 
 550.0  8   0.005064 
 550.0  9   0.008427 
 550.0 10   0.009854 
 550.0 11   0.007620 
 550.0 12   0.010669 
 550.0 13   0.009484 
 550.0 14   0.011404 
 550.0 15   0.012061 
 550.0 16   0.010888 
 550.0 17   0.009910 
 550.0 18   0.010911 
 550.0 19   0.011539 
 550.0 20   0.010725 
 550.0 21   0.010914 
 550.0 22   0.010768 
 550.0 23   0.010282 
 550.0 24   0.010878 
 550.0 25   0.011400 
 550.0 26   0.010919 
 550.0 27   0.010487 
 550.0 28   0.010939 
 550.0 29   0.010814 
 550.0 30   0.010884 
 550.0 31   0.011044 
 550.0 32   0.010880 

 #600.0  1   9.986882 
 #600.0  2   0.323975 
 #600.0  3   0.111887 
 #600.0  4   0.017351 
 600.0  5   0.028031 
 600.0  6   0.009331 
 600.0  7   0.033114 
 600.0  8   0.006225 
 600.0  9   0.009516 
 600.0 10   0.011005 
 600.0 11   0.008751 
 600.0 12   0.011803 
 600.0 13   0.010649 
 600.0 14   0.012560 
 600.0 15   0.013271 
 600.0 16   0.012025 
 600.0 17   0.011099 
 600.0 18   0.012065 
 600.0 19   0.012695 
 600.0 20   0.011880 
 600.0 21   0.012095 
 600.0 22   0.011921 
 600.0 23   0.011440 
 600.0 24   0.012035 
 600.0 25   0.012567 
 600.0 26   0.012077 
 600.0 27   0.011654 
 600.0 28   0.012089 
 600.0 29   0.011964 
 600.0 30   0.012038 
 600.0 31   0.012201 
 600.0 32   0.012033 

 #650.0  1   9.987490 
 #650.0  2   0.320789 
 #650.0  3   0.115647 
 #650.0  4   0.020299 
 650.0  5   0.030621 
 650.0  6   0.006359 
 650.0  7   0.030261 
 650.0  8   0.003301 
 650.0  9   0.006698 
 650.0 10   0.008134 
 650.0 11   0.005913 
 650.0 12   0.008957 
 650.0 13   0.007756 
 650.0 14   0.009705 
 650.0 15   0.010360 
 650.0 16   0.009156 
 650.0 17   0.008200 
 650.0 18   0.009188 
 650.0 19   0.009830 
 650.0 20   0.009008 
 650.0 21   0.009220 
 650.0 22   0.009065 
 650.0 23   0.008593 
 650.0 24   0.009174 
 650.0 25   0.009709 
 650.0 26   0.009210 
 650.0 27   0.008780 
 650.0 28   0.009230 
 650.0 29   0.009096 
 650.0 30   0.009172 
